Model,Error Type,True Label,Predicted,Message
CountVectorizer + Multinomial NB,False Positive (ham -> spam),ham,spam,have you laid your airtel line to rest
CountVectorizer + Multinomial NB,False Positive (ham -> spam),ham,spam,hey great deal farm tour 9am to 5pm 95 pax 50 deposit by 16 may
CountVectorizer + Multinomial NB,False Positive (ham -> spam),ham,spam,waiting for your call
CountVectorizer + Multinomial NB,False Negative (spam -> ham),spam,ham,babe u want me dont u baby im nasty and have a thing 4 filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slo 4msgs
CountVectorizer + Multinomial NB,False Negative (spam -> ham),spam,ham,santa calling would your little ones like a call from santa xmas eve call 09058094583 to book your time
CountVectorizer + Multinomial NB,False Negative (spam -> ham),spam,ham,sms ac sun0819 posts hello you seem cool
CountVectorizer + Multinomial NB,False Negative (spam -> ham),spam,ham,hi its lucy hubby at meetins all day fri i will b alone at hotel u fancy cumin over pls leave msg 2day 09099726395 lucy x callså 1 minmobsmorelkpobox177hp51fl
CountVectorizer + Multinomial NB,False Negative (spam -> ham),spam,ham,would you like to see my xxx pics they are so hot they were nearly banned in the uk
CountVectorizer + Multinomial NB,False Negative (spam -> ham),spam,ham,ringtoneking 84484
CountVectorizer + Multinomial NB,False Negative (spam -> ham),spam,ham,in the simpsons movie released in july 2007 name the band that died at the start of the film a green day b blue day c red day send a b or c
CountVectorizer + Multinomial NB,False Negative (spam -> ham),spam,ham,missed call alert these numbers called but left no message 07008009200
CountVectorizer + Multinomial NB,False Negative (spam -> ham),spam,ham,can u get 2 phone now i wanna chat 2 set up meet call me now on 09096102316 u can cum here 2moro luv jane xx callså 1 minmoremobsemspobox45po139wa
CountVectorizer + Logistic Regression,False Positive (ham -> spam),ham,spam,sorry i missed your call can you please call back
CountVectorizer + Logistic Regression,False Positive (ham -> spam),ham,spam,hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no
CountVectorizer + Logistic Regression,False Negative (spam -> ham),spam,ham,dear voucher holder 2 claim your 1st class airport lounge passes when using your holiday voucher call 08704439680 when booking quote 1st class x 2
CountVectorizer + Logistic Regression,False Negative (spam -> ham),spam,ham,recpt 1 3 you have ordered a ringtone your order is being processed
CountVectorizer + Logistic Regression,False Negative (spam -> ham),spam,ham,100 dating service cal l 09064012103 box334sk38ch
CountVectorizer + Logistic Regression,False Negative (spam -> ham),spam,ham,want explicit sex in 30 secs ring 02073162414 now costs 20p min
CountVectorizer + Logistic Regression,False Negative (spam -> ham),spam,ham,babe u want me dont u baby im nasty and have a thing 4 filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slo 4msgs
CountVectorizer + Logistic Regression,False Negative (spam -> ham),spam,ham,sms ac sun0819 posts hello you seem cool
CountVectorizer + Logistic Regression,False Negative (spam -> ham),spam,ham,as a registered optin subscriber ur draw 4 å 100 gift voucher will be entered on receipt of a correct ans to 80062 whats no1 in the bbc charts
